"Date","HHSC","ALF_Fac_Outbreak_Active","ALF_Fac_Outbreak_Recovered","ALF_Fac_Outbreak_Cumulative","ALF_Cases_Active","ALF_Recovered_Cumulative","ALF_Deaths_Cumulative","ALF_Cases_Cumulative","ALF_Discharges_Cumulative","NURSING_Fac_Outbreak_Active","NURSING_Fac_Outbreak_Recovered","NURSING_Fac_Outbreak_Cumulative","NURSING_Cases_Active","NURSING_Recovered_Cumulative","NURSING_Deaths_Cumulative","NURSING_Cases_Cumulative","NURSING_Discharges_Cumulative"
2020-09-04,"4","21","27","48","25","106","34","171",NA,"86","71","157","444","2083","398","3174",NA
2020-09-04,"5","52","17","69","68","169","58","318",NA,"94","44","138","409","1632","379","2558",NA
2020-09-04,"6","69","94","163","118","526","131","899",NA,"87","82","169","415","3242","646","5399",NA
2020-09-04,"7","39","39","78","76","134","65","300",NA,"120","88","208","652","3698","1072","6880",NA
2020-09-05,"1","17","17","34","20","37","8","74",NA,"38","32","70","86","577","151","866",NA
2020-09-05,"2","13","30","43","16","129","17","179",NA,"54","54","108","322","1563","350","2774",NA
2020-09-05,"3","63","100","163","63","331","153","609",NA,"79","110","189","330","2113","539","3369",NA
2020-09-05,"4","21","27","48","25","106","34","171",NA,"88","69","157","441","2084","398","3192",NA
2020-09-05,"5","52","17","69","68","169","58","318",NA,"94","45","139","421","1644","376","2580",NA
2020-09-05,"6","64","99","163","119","534","131","907",NA,"91","78","169","384","3267","649","5392",NA
2020-09-05,"7","39","39","78","82","134","65","306",NA,"117","93","210","665","3869","1096","7160",NA
2020-09-06,"1","17","17","34","20","37","8","74",NA,"38","32","70","86","577","151","866",NA
2020-09-06,"2","13","30","43","15","129","19","180",NA,"53","55","108","292","1583","351","2769",NA
2020-09-06,"3","63","100","163","63","331","153","609",NA,"81","108","189","332","2118","538","3375",NA
2020-09-06,"4","22","26","48","26","106","34","172",NA,"89","68","157","439","2086","399","3184",NA
2020-09-06,"5","52","17","69","68","169","58","318",NA,"95","45","140","421","1644","376","2580",NA
2020-09-06,"6","62","101","163","115","535","132","908",NA,"91","78","169","376","3273","649","5401",NA
2020-09-06,"7","39","39","78","82","134","65","306",NA,"117","93","210","665","3869","1096","7160",NA
2020-09-08,"1","18","16","34","18","39","8","74",NA,"41","30","71","120","577","152","903",NA
2020-09-08,"2","13","30","43","16","129","19","181",NA,"53","56","109","297","1594","353","2789",NA
2020-09-08,"3","62","101","163","64","331","153","610",NA,"82","108","190","339","2130","540","3396",NA
2020-09-08,"4","22","26","48","25","106","35","172",NA,"93","65","158","489","2089","402","3249",NA
2020-09-08,"5","53","16","69","69","170","58","320",NA,"96","45","141","431","1655","383","2629",NA
2020-09-08,"6","62","101","163","115","535","132","908",NA,"93","76","169","337","3302","650","5392",NA
2020-09-08,"7","40","39","79","83","142","65","318",NA,"109","100","209","642","3934","1115","7276",NA
2020-09-09,"1","18","16","34","18","39","8","74",NA,"41","30","71","119","578","152","903",NA
2020-09-09,"2","13","30","43","16","129","19","181",NA,"53","56","109","297","1594","353","2789",NA
2020-09-09,"3","60","103","163","50","346","153","611",NA,"80","110","190","320","2157","549","3421",NA
2020-09-09,"4","23","26","49","25","106","35","172",NA,"94","64","158","510","2099","407","3284",NA
2020-09-09,"5","54","15","69","69","170","58","321",NA,"98","43","141","415","1645","383","2605",NA
2020-09-09,"6","53","112","165","101","546","133","912",NA,"92","77","169","341","3308","651","5414",NA
2020-09-09,"7","39","40","79","85","142","65","321",NA,"109","100","209","573","4003","1119","7307",NA
2020-09-10,"1","18","16","34","14","45","9","76",NA,"42","30","72","116","582","152","905",NA
2020-09-10,"2","12","31","43","13","134","19","183",NA,"51","58","109","253","1616","361","2775",NA
2020-09-10,"3","59","103","162","50","346","153","611",NA,"81","110","191","298","2146","549","3398",NA
2020-09-10,"4","23","26","49","26","106","35","173",NA,"92","66","158","486","2086","412","3276",NA
2020-09-10,"5","54","15","69","69","170","57","320",NA,"98","43","141","416","1646","383","2607",NA
2020-09-10,"6","49","116","165","64","573","134","905",NA,"92","77","169","324","3322","652","5413",NA
2020-09-10,"7","38","41","79","81","146","65","322",NA,"110","99","209","510","4048","1127","7273",NA
2020-09-11,"1","18","16","34","14","45","9","76",NA,"45","28","73","126","583","152","916",NA
2020-09-11,"2","11","32","43","9","137","19","182",NA,"51","59","110","253","1636","365","2790",NA
2020-09-11,"3","58","105","163","51","347","153","613",NA,"82","109","191","302","2212","554","3479",NA
2020-09-11,"4","24","26","50","26","107","36","175",NA,"92","67","159","533","2112","416","3354",NA
2020-09-11,"5","54","16","70","63","186","63","336",NA,"103","39","142","421","1652","388","2624",NA
2020-09-11,"6","48","117","165","64","579","134","911",NA,"90","79","169","293","3377","651","5436",NA
2020-09-11,"7","37","42","79","63","163","66","322",NA,"115","95","210","512","4080","1134","7336",NA
2020-09-12,"1","18","16","34","14","45","9","76",NA,"46","27","73","133","583","152","923",NA
2020-09-12,"2","10","33","43","8","139","19","183",NA,"51","59","110","280","1645","366","2829",NA
2020-09-12,"3","58","104","162","51","347","153","613",NA,"86","105","191","304","2234","556","3506",NA
2020-09-12,"4","24","26","50","26","107","36","175",NA,"98","63","161","549","2124","420","3388",NA
2020-09-12,"5","54","17","71","54","187","60","328",NA,"104","39","143","430","1655","388","2636",NA
2020-09-12,"6","49","116","165","62","582","136","914",NA,"84","85","169","282","3336","654","5363",NA
2020-09-12,"7","37","42","79","63","163","66","322",NA,"116","94","210","455","4143","1138","7365",NA
2020-09-13,"1","18","16","34","14","45","9","76",NA,"47","26","73","133","583","152","923",NA
2020-09-13,"2","11","33","44","14","140","19","190",NA,"56","56","112","282","1659","368","2843",NA
2020-09-13,"3","59","104","163","54","347","153","616",NA,"86","105","191","312","2239","558","3524",NA
2020-09-13,"4","24","26","50","26","107","36","175",NA,"98","63","161","553","2132","425","3419",NA
2020-09-13,"5","54","17","71","54","187","60","328",NA,"104","39","143","430","1655","388","2636",NA
2020-09-13,"6","48","117","165","58","586","137","915",NA,"85","84","169","250","3238","657","5370",NA
2020-09-13,"7","37","42","79","63","163","66","322",NA,"116","94","210","455","4143","1138","7365",NA
2020-09-14,"1","18","16","34","14","45","9","76",NA,"48","25","73","133","583","152","923",NA
2020-09-14,"2","10","34","44","14","140","19","190",NA,"55","57","112","280","1671","373","2853",NA
2020-09-14,"3","61","103","164","56","347","153","618",NA,"88","103","191","316","2245","558","3537",NA
2020-09-14,"4","24","26","50","26","107","36","175",NA,"99","62","161","555","2147","434","3448",NA
2020-09-14,"5","54","17","71","54","187","60","328",NA,"102","41","143","453","1664","388","2670",NA
2020-09-14,"6","46","119","165","59","587","137","917",NA,"82","88","170","236","3305","657","5449",NA
2020-09-14,"7","37","42","79","63","163","66","322",NA,"112","98","210","442","4170","1145","7409",NA
2020-09-15,"1","18","16","34","14","45","9","76",NA,"48","25","73","120","606","153","934",NA
2020-09-15,"2","10","34","44","14","140","19","190",NA,"52","61","113","260","1712","381","2882",NA
2020-09-15,"3","57","108","165","41","361","155","622",NA,"85","107","192","303","2283","559","3587",NA
2020-09-15,"4","24","27","51","25","108","36","175",NA,"88","73","161","493","2248","445","3560",NA
2020-09-15,"5","54","17","71","54","187","60","328",NA,"102","41","143","471","1658","389","2689",NA
2020-09-15,"6","41","124","165","55","591","139","919",NA,"81","89","170","238","3319","658","5469",NA
2020-09-15,"7","38","41","79","62","163","66","322",NA,"113","98","211","451","4200","1148","7449",NA
2020-09-16,"1","17","17","34","17","45","9","79",NA,"48","25","73","121","603","155","934",NA
2020-09-16,"2","8","36","44","14","140","19","190",NA,"52","61","113","236","1742","384","2912",NA
2020-09-16,"3","57","108","165","39","363","155","622",NA,"88","106","194","300","2375","562","3846",NA
2020-09-16,"4","24","27","51","25","108","36","175",NA,"88","73","161","460","2309","448","3589",NA
2020-09-16,"5","54","17","71","54","187","60","328",NA,"104","39","143","454","1660","391","2677",NA
2020-09-16,"6","41","125","166","47","601","138","920",NA,"69","101","170","184","3374","667","5487",NA
2020-09-16,"7","39","40","79","63","163","66","323",NA,"114","97","211","458","4208","1152","7468",NA
2020-09-17,"1","17","17","34","17","45","9","79",NA,"48","25","73","135","606","156","952",NA
2020-09-17,"2","7","37","44","11","143","19","190",NA,"51","63","114","227","1754","383","2928",NA
2020-09-17,"3","56","109","165","38","365","155","623",NA,"89","105","194","299","2432","576","3892",NA
2020-09-17,"4","23","28","51","21","110","37","175",NA,"86","75","161","467","2314","444","3597",NA
2020-09-17,"5","54","17","71","54","187","60","328",NA,"105","38","143","467","1687","397","2727",NA
2020-09-17,"6","36","130","166","44","604","138","924",NA,"72","98","170","176","3396","668","5501",NA
2020-09-17,"7","36","43","79","61","165","67","324",NA,"114","97","211","416","4228","1154","7438",NA
2020-09-18,"1","17","17","34","15","47","9","79",NA,"48","25","73","140","606","156","957",NA
2020-09-18,"2","7","37","44","12","143","19","192",NA,"51","64","115","209","1795","386","2940",NA
2020-09-18,"3","57","109","166","41","367","155","628",NA,"87","107","194","296","2453","580","3916",NA
2020-09-18,"4","23","28","51","21","110","37","175",NA,"88","74","162","475","2340","444","3643",NA
2020-09-18,"5","54","17","71","54","187","60","328",NA,"102","42","144","455","1724","401","2761",NA
2020-09-18,"6","36","131","167","47","606","139","927",NA,"69","101","170","210","3403","668","5543",NA
2020-09-18,"7","34","45","79","60","168","68","327",NA,"114","99","213","387","4272","1157","7475",NA
2020-09-19,"1","19","17","36","29","47","9","93",NA,"48","25","73","155","613","156","979",NA
2020-09-19,"2","6","38","44","9","142","19","188",NA,"51","64","115","204","1804","390","2949",NA
2020-09-19,"3","58","109","167","41","368","156","625",NA,"88","108","196","296","2464","581","3930",NA
2020-09-19,"4","23","28","51","21","110","37","175",NA,"89","75","164","485","2352","459","3685",NA
2020-09-19,"5","53","18","71","54","188","60","329",NA,"101","43","144","455","1725","401","2771",NA
2020-09-19,"6","36","131","167","47","607","140","929",NA,"68","102","170","223","3404","669","5566",NA
2020-09-19,"7","34","45","79","60","168","68","330",NA,"113","100","213","388","4280","1158","7488",NA
2020-09-20,"1","19","17","36","29","47","9","93",NA,"48","25","73","156","613","158","982",NA
2020-09-20,"2","6","38","44","9","142","19","188",NA,"51","64","115","208","1807","390","2953",NA
2020-09-20,"3","57","110","167","41","368","156","625",NA,"88","108","196","304","2465","581","3939",NA
2020-09-20,"4","23","28","51","22","110","37","176",NA,"90","74","164","486","2358","460","3692",NA
2020-09-20,"5","53","18","71","54","191","60","332",NA,"102","43","145","450","1743","404","2787",NA
2020-09-20,"6","36","131","167","47","607","140","929",NA,"67","103","170","218","3410","672","5574",NA
2020-09-20,"7","34","45","79","58","168","68","328",NA,"113","100","213","376","4299","1161","7508",NA
2020-09-21,"1","20","17","37","29","47","9","93",NA,"50","23","73","156","616","158","985",NA
2020-09-21,"2","6","38","44","9","142","19","188",NA,"52","63","115","206","1810","391","2960",NA
2020-09-21,"3","58","110","168","43","368","156","627",NA,"90","107","197","299","2471","581","3940",NA
2020-09-21,"4","23","28","51","22","110","37","176",NA,"89","76","165","505","2330","473","3706",NA
2020-09-21,"5","52","19","71","53","196","63","340",NA,"99","46","145","445","1748","404","2787",NA
2020-09-21,"6","36","131","167","47","607","140","929",NA,"67","103","170","214","3415","672","5577",NA
2020-09-21,"7","34","45","79","58","167","68","327",NA,"114","99","213","362","4348","1169","7525",NA
2020-09-22,"1","20","17","37","29","47","9","93",NA,"50","23","73","161","627","158","1001",NA
2020-09-22,"2","6","38","44","4","143","20","188",NA,"47","68","115","193","1862","394","3006",NA
2020-09-22,"3","58","111","169","47","368","156","631",NA,"86","111","197","298","2487","587","3962",NA
2020-09-22,"4","23","28","51","23","110","37","177",NA,"89","78","167","434","2436","473","3752",NA
2020-09-22,"5","52","19","71","53","196","63","340",NA,"100","45","145","439","1755","405","2789",NA
2020-09-22,"6","31","136","167","45","608","140","929",NA,"66","104","170","212","3418","672","5578",NA
2020-09-22,"7","33","46","79","53","172","68","327",NA,"109","105","214","365","4453","1186","7649",NA
2020-09-23,"1","20","17","37","29","47","9","93",NA,"51","23","74","162","633","159","1009",NA
2020-09-23,"2","5","40","45","3","143","21","189",NA,"44","71","115","186","1954","397","3049",NA
2020-09-23,"3","55","113","168","43","370","156","633",NA,"85","113","198","284","2503","589","3970",NA
2020-09-23,"4","24","27","51","23","110","37","177",NA,"88","80","168","409","2438","489","3785",NA
2020-09-23,"5","51","20","71","52","198","63","335",NA,"99","46","145","436","1791","406","3044",NA
2020-09-23,"6","28","139","167","44","609","141","934",NA,"57","113","170","210","3431","673","5627",NA
2020-09-23,"7","27","53","80","47","186","69","335",NA,"103","112","215","380","4493","1196","7736",NA
2020-09-24,"1","20","17","37","29","47","9","93",NA,"51","23","74","168","634","159","1016",NA
2020-09-24,"2","5","40","45","3","143","21","189",NA,"47","68","115","193","1954","397","3056",NA
2020-09-24,"3","55","113","168","42","372","156","634",NA,"86","113","199","287","2507","594","3982",NA
2020-09-24,"4","25","26","51","23","110","37","177",NA,"90","79","169","410","2441","489","3794",NA
2020-09-24,"5","50","21","71","46","198","63","335",NA,"98","47","145","415","1818","407","3051",NA
2020-09-24,"6","28","140","168","42","609","139","931",NA,"50","120","170","205","3435","674","5633",NA
2020-09-24,"7","28","53","81","47","188","69","337",NA,"101","114","215","408","4553","1191","7847",NA
2020-09-25,"1","19","18","37","29","47","9","93","8","53","22","75","172","635","159","1021","55"
2020-09-25,"2","5","40","45","3","143","21","189","22","48","67","115","202","1958","398","3065","507"
2020-09-25,"3","55","113","168","42","372","156","634","64","83","116","199","291","2513","595","3993","594"
2020-09-25,"4","25","26","51","24","110","37","178","7","92","79","171","395","2458","498","3801","450"
2020-09-25,"5","50","21","71","46","198","63","335","28","98","47","145","418","1846","415","3093","414"
2020-09-25,"6","23","145","168","36","614","139","934","145","51","119","170","214","3435","674","5642","1319"
2020-09-25,"7","28","53","81","47","187","69","336","33","98","117","215","386","4531","1191","7837","1729"
2020-09-26,"1","20","18","38","25","47","13","93","8","54","21","75","180","635","160","1039","64"
2020-09-26,"2","4","41","45","3","143","21","189","22","46","70","116","203","1952","398","3055","502"
2020-09-26,"3","55","113","168","42","372","156","634","64","81","118","199","301","2553","600","4050","596"
2020-09-26,"4","25","26","51","24","110","37","178","7","92","79","171","378","2486","499","3816","453"
2020-09-26,"5","51","21","72","46","198","63","335","28","97","48","145","417","1849","415","3096","415"
2020-09-26,"6","21","147","168","34","616","139","934","145","49","121","170","217","3452","675","5682","1338"
2020-09-26,"7","28","53","81","47","187","69","336","33","101","114","215","403","4533","1196","7879","1747"
2020-09-27,"1","20","18","38","26","45","13","93","9","53","22","75","176","639","160","1039","64"
2020-09-27,"2","4","41","45","3","143","21","189","22","46","70","116","203","1952","398","3055","502"
2020-09-27,"3","55","113","168","41","374","156","635","64","81","118","199","297","2567","600","4061","597"
2020-09-27,"4","25","26","51","24","110","37","178","7","95","76","171","382","2499","499","3837","457"
2020-09-27,"5","51","21","72","46","198","63","335","28","97","48","145","417","1849","415","3096","415"
2020-09-27,"6","21","147","168","34","616","139","934","145","48","122","170","207","3467","676","5685","1335"
2020-09-27,"7","28","53","81","47","187","69","336","33","101","114","215","416","4542","1196","7905","1751"
2020-09-28,"1","20","18","38","27","45","13","94","9","53","22","75","195","639","160","1060","66"
2020-09-28,"2","4","41","45","3","143","21","189","22","46","70","116","203","1952","398","3053","502"
2020-09-28,"3","55","113","168","41","374","156","635","64","82","117","199","293","2576","601","4067","597"
2020-09-28,"4","24","27","51","24","111","37","181","9","92","80","172","366","2529","502","3854","460"
2020-09-28,"5","51","21","72","46","198","63","335","28","97","49","146","418","1859","416","3095","412"
2020-09-28,"6","19","149","168","34","616","139","934","145","48","122","170","210","3478","676","5680","1346"
2020-09-28,"7","29","53","82","46","188","69","336","33","100","117","217","395","4546","1197","7873","1758"
2020-09-29,"1","22","18","40","29","45","13","96","9","54","23","77","199","641","161","1078","77"
2020-09-29,"2","4","41","45","3","143","21","189","22","47","69","116","234","1956","398","3036","486"
2020-09-29,"3","55","113","168","41","374","156","635","64","82","117","199","293","2576","601","4067","597"
2020-09-29,"4","24","27","51","25","111","37","180","7","91","82","173","355","2566","502","3880","460"
2020-09-29,"5","51","21","72","46","198","63","335","28","97","49","146","413","1870","421","3106","412"
2020-09-29,"6","20","148","168","36","616","139","936","145","48","122","170","230","3483","677","5668","1327"
2020-09-29,"7","29","53","82","46","188","69","336","33","97","120","217","387","4556","1198","7851","1762"
2020-09-30,"1","21","19","40","27","45","15","97","10","55","23","78","192","674","168","1112","78"
2020-09-30,"2","5","40","45","3","143","21","189","22","53","63","116","233","1952","397","3025","480"
2020-09-30,"3","56","114","170","44","379","158","652","72","82","117","199","352","2618","604","4184","612"
2020-09-30,"4","25","27","52","30","111","38","186","7","92","81","173","348","2619","510","3923","457"
2020-09-30,"5","51","21","72","46","198","63","335","28","94","52","146","393","1905","431","3132","412"
2020-09-30,"6","19","149","168","35","618","139","936","146","48","122","170","225","3484","677","5672","1335"
2020-09-30,"7","24","58","82","47","191","70","341","33","96","121","217","413","4582","1201","7874","1765"
2020-10-01,"1","21","19","40","27","45","15","97","10","55","23","78","192","674","169","1113","78"
2020-10-01,"2","6","39","45","3","143","21","189","22","52","64","116","228","1952","398","3030","490"
2020-10-01,"3","60","112","172","47","379","158","655","72","78","122","200","345","2636","613","4211","619"
2020-10-01,"4","27","26","53","32","111","38","188","7","94","80","174","309","2658","513","3948","481"
2020-10-01,"5","51","21","72","46","198","63","335","28","96","50","146","392","1909","432","3137","413"
2020-10-01,"6","19","149","168","35","619","139","937","146","45","125","170","200","3509","677","5683","1360"
2020-10-01,"7","19","63","82","45","193","70","341","33","95","122","217","401","4624","1205","7916","1799"
2020-10-02,"1","22","19","41","28","46","15","99","10","56","22","78","243","688","172","1183","80"
2020-10-02,"2","6","39","45","3","143","21","189","22","53","63","116","231","1959","399","3047","497"
2020-10-02,"3","60","113","173","45","380","158","656","74","77","123","200","348","2659","615","4248","628"
2020-10-02,"4","28","26","54","34","112","38","191","7","93","82","175","299","2705","522","4000","487"
2020-10-02,"5","51","22","73","46","198","69","341","28","97","49","146","439","1923","440","3207","414"
2020-10-02,"6","19","149","168","33","620","139","936","146","43","127","170","191","3515","677","5683","1363"
2020-10-02,"7","20","63","83","45","193","70","341","33","95","122","217","387","4646","1212","7966","1840"
